date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,rateYTD),5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2013-02-07,254.35,255.8,253.35,253.8,-0.23,-1.54,-3.95,-0.3,2.38,-2.51,-2.51,1957.79,1931.77,1943.43,2007.04,1931.77,1967.06,2031.1,1860.83,1957.24,2031.1,1860.83,1950.18,2049.28,1769.31,1937.81,29.44551063,0.484496124,-4.141346154,-3.334935897,-0.806410256,1974.45576,1959.66424,-22.29267969,98.92903906,0.097919325,47.87600459,-475.6756757,0.007519608,253.8
2013-02-08,253.45,257.6,253.2,257.35,0.99,-0.35,-2.35,1.91,2.5,-2.64,-2.64,1953.21,1931.77,1942.05,2007.04,1931.77,1964.77,2031.1,1860.83,1958.07,2031.1,1860.83,1950.12,2049.28,1769.31,1937.6,31.86876243,0.606508876,-4.008653846,-3.521082621,-0.487571225,1971.831346,1957.708654,-22.24551614,98.89021121,0.112466741,65.3088042,-942.3728814,0.007187962,257.35
2013-02-11,253.45,257.6,253.2,257.35,0.99,-0.35,-2.35,1.91,2.5,-2.64,-2.64,1953.21,1931.77,1942.05,2007.04,1931.77,1964.77,2031.1,1860.83,1958.07,2031.1,1860.83,1950.12,2049.28,1769.31,1937.6,38.6865654,0.617816092,-3.762179487,-3.640990028,-0.121189459,1971.057873,1958.482127,-22.24551614,98.97195643,0.109078207,70.8,8750,0.00640062,257.35
2013-02-12,257.45,257.75,256,256.65,-0.26,0.39,-2.55,2.36,-0.03,-2.4,-2.4,1950.9,1931.77,1940.57,1996.52,1931.77,1961.71,2031.1,1860.83,1959,2031.1,1860.83,1950.12,2049.28,1769.31,1937.1,38.59548974,0.660522273,-3.272435897,-3.658333333,0.385897436,1967.699664,1955.720336,-25.87057915,98.90821856,0.103057546,67.26272352,-4990,0.006106575,256.65
2013-02-13,257.45,261.45,257.15,261.3,1.56,2.06,-1.03,4.57,2.26,-1.48,-1.48,1976.07,1931.77,1948.14,1996.52,1931.77,1961.32,2031.1,1860.83,1960.37,2031.1,1860.83,1950.36,2049.28,1769.31,1936.98,38.33684386,0.737269373,-2.665064103,-3.583618234,0.918554131,1967.350264,1955.289736,-25.79876448,98.97693421,0.120444523,82.88288288,-4042.857143,0.006149189,261.3
2013-02-14,261.45,263.1,260.75,262.25,0.18,2.48,-1.37,4.52,1.16,-1.15,-1.15,1979.61,1931.77,1956.83,1996.52,1931.77,1961.43,2031.1,1860.83,1962.19,2031.1,1860.83,1950.67,2049.28,1769.31,1936.89,38.30776288,0.773365423,-2.197115385,-3.452350427,1.255235043,1967.565908,1955.294092,-25.78409266,99.06815036,0.120940282,94.17475728,4057.142857,0.006256566,262.25
2013-02-15,262.2,262.6,261.35,262.05,0.08,1.55,-0.13,5.9,1.24,-2.18,-2.18,1981.18,1945.79,1966.71,1996.52,1931.77,1961.78,2031.1,1878.1,1964.19,2031.1,1860.83,1951.05,2049.28,1769.31,1936.71,38.7788981,0.773365423,-1.766987179,-3.266346154,1.499358974,1967.909349,1955.650651,-25.78718147,99.17138125,0.120611011,101.9064125,950,0.006248763,262.05
2013-02-18,261.3,262.8,260.3,261.75,0.04,1.59,-0.3,6.51,1.82,-2.05,-2.05,1981.91,1945.79,1972.91,1996.52,1931.77,1961.48,2031.1,1884.04,1965.92,2031.1,1860.83,1951.38,2049.28,1769.31,1936.3,37.90542672,0.796494228,-1.339423077,-3.008440171,1.669017094,1967.515707,1955.444293,-25.79181467,99.24187843,0.120566081,107.2595281,698.6486486,0.006154238,261.75
2013-02-19,261.95,263.55,261.35,262.8,0.2,2.06,-0.1,5.74,2.02,-1.86,-1.86,1985.83,1976.07,1980.92,1996.52,1931.77,1961.43,2031.1,1884.04,1967.52,2031.1,1860.83,1951.93,2049.28,1769.31,1936.5,36.7276719,0.794117647,-0.780448718,-2.659294872,1.878846154,1967.200202,1955.659798,-25.77559846,99.32490582,0.118962381,109.4269871,700,0.005883669,262.8
2013-02-20,263.9,268.75,263.55,268.3,1.95,2.46,1.85,7.11,4.02,-0.01,-0.01,2024.64,1979.61,1990.63,2024.64,1931.77,1962.83,2031.1,1899.5,1969.86,2031.1,1860.83,1952.82,2049.28,1769.31,1936.5,33.46625445,0.829864552,-0.002564103,-2.199430199,2.196866097,1970.07191,1955.58809,-17.91181221,99.47803717,0.133003757,142.4947146,1042.372881,0.00737905,268.3
2013-02-21,267.4,268.3,266.8,267.3,-0.47,1.8,1.43,6.96,3.71,-0.45,-0.45,2024.64,1981.18,1997.76,2024.64,1931.77,1964.58,2031.1,1908.51,1971.79,2031.1,1860.83,1953.64,2049.28,1769.31,1936.46,36.21808975,0.809800129,0.838782051,-1.660826211,2.499608262,1972.824079,1956.335921,-17.92257995,99.64255418,0.129625346,148.7750557,977.4193548,0.008392714,267.3
